Subject,Block,Trial,FixationSeq,AOI,StartTime_ms,EndTime_ms,Duration_ms,SampleCount,Mean_X,Mean_Y,SD_X,SD_Y
991,1,7,4,B1,731,960,229,230,1281.52894538746,477.39627262584,4.31764398062464,2.0938641296778
991,1,7,5,B2,973,1273,300,301,1292.8285918475,636.130098476856,7.07231771151327,25.3959892323265
991,1,7,6,A3,1301,1436,135,136,976.886196307282,719.093284720805,5.26588243373221,3.42465416748718
991,1,8,1,NaN,0,183,183,184,1000.46071415157,154.288736112825,0.869672894451249,3.35358963637085
991,1,8,2,A1,209,467,258,259,967.782101523552,436.951556669599,2.44735504535255,5.16383550372159
991,1,8,3,A2,491,761,270,271,952.92118818432,642.996841260492,2.43670589327434,5.14059069938132
991,1,8,4,B1,796,1020,224,225,1284.65179087549,438.666142758767,2.3745150445255,5.99609163639998
991,1,8,5,B2,1036,1357,321,322,1270.97515640259,646.332968330383,3.74277126689379,8.20211492610536
991,1,8,6,A2,1391,1674,283,284,953.003722387003,563.817019848113,4.11738173247164,2.73720984339807
991,1,8,7,A3,1690,1867,177,178,972.291193008423,781.676990855824,2.55213645867352,10.048319333976
991,1,8,8,A1,1905,2115,210,211,947.660767039614,467.250717747154,2.3737536146994,4.23772814379243
991,2,1,1,NaN,0,165,165,166,1003.85274375357,148.767378737287,1.08294731665931,3.75502167310546
991,2,1,2,A,191,369,178,179,978.7070609055,375.9344637596,2.06289947747422,7.25485773143974
991,2,1,3,A1,376,613,237,238,962.06186572576,458.610380140402,1.14293996925389,3.60775273663234
991,2,1,4,A3,624,1018,394,395,963.897456899551,618.634477377544,2.7753220126849,7.50947998963772
991,2,1,5,B4,1044,1217,173,174,1174.21802183639,720.68372238514,5.0131394133407,5.63603254390353
991,2,1,6,B4,1233,1387,154,155,1323.59378430734,733.873853097554,3.37661993624665,1.81807948210438
991,2,1,7,B1,1416,1730,314,315,1305.50782673504,463.641373558166,2.65570792650016,5.26876673945412
991,2,1,8,B3,1740,2102,362,363,1295.66842338583,598.648200037737,3.79040849081116,8.33901726008724
991,2,1,9,B4,2110,2350,240,241,1296.54058480363,705.68828439114,2.8033832422988,5.37161210583325
991,2,2,1,NaN,0,161,161,162,1009.23249912262,157.289062261581,1.82533902218224,4.37148483161936
991,2,2,2,A1,188,438,250,251,913.332129298444,469.818472743513,1.98380140138373,7.60087238768454
991,2,2,3,A4,469,883,414,415,969.684987583114,783.140920643656,3.07315612054682,2.32221842668174
991,2,2,4,A2,917,1086,169,170,939.061015719459,536.506251198905,3.17009306245172,2.87738297572997
991,2,2,5,B3,1114,1315,201,202,1256.8437512207,672.221998596191,3.52368702688643,4.89781896307926
991,2,2,6,B4,1325,1505,180,181,1309.16201594688,778.938548508969,2.5580062451759,3.59458261517858
991,2,2,7,B,1545,1783,238,239,1299.95295502868,303.063290044728,2.38129880768887,3.28023117605785
991,2,2,8,A,1818,1996,178,179,904.469208453335,318.962145616779,4.47340242324089,3.43977377791826
991,2,2,9,AT2,2022,2139,117,118,662.010775862069,511.203448591561,4.012020098446,5.45637576905952
991,2,3,1,NaN,0,150,150,151,1001.73892580583,173.479865823016,0.770607463265281,2.52321101826232
991,2,3,2,A1,177,432,255,256,929.904920082393,445.535432590274,1.33561246922735,8.14169323809947
991,2,3,3,A3,452,895,443,444,954.091515174279,673.18518142355,2.83666812841779,3.49462870156919
991,2,3,4,A2,923,1099,176,177,951.763711983817,493.406857038225,1.0610715721035,4.21319439739049
991,2,3,5,B2,1140,1404,264,265,1275.60779226325,561.820912756394,4.03997654026179,3.90061925577923
991,2,3,6,B4,1420,1873,453,454,1307.74225690724,786.166703823393,10.56860635779,14.3353848700684
